lganame,wardname,ym,year,month,no2_mol_m2,no2_umol_m2,no2_valid_pixels,rainfall_mm,rainfall_valid_pixels,t2m_mean,t2m_max,t2m_min,ts_mean,temp_n_days,flare_n_sites,flare_total_bcm_13yr,flare_max_site_bcm,flare_last_year_bcm,flare_operators,fac_total,fac_phc,fac_secondary,fac_tertiary,fac_public,fac_private,pop_total,pop_under5,fac_per_1k_pop,phc_per_1k_u5,rainfall_mm_lag1m,rainfall_mm_lag2m,rainfall_mm_lag3m,t2m_mean_lag1m,t2m_mean_lag2m,t2m_mean_lag3m,ndvi_annual,ndvi_monthly,ndvi,ndvi_source,t,no2_umol_m2_lag1,no2_umol_m2_lag2,no2_umol_m2_lag3,rainfall_mm_lag1,rainfall_mm_lag2,rainfall_mm_lag3,t2m_mean_lag1,t2m_mean_lag2,t2m_mean_lag3,ndvi_lag1,ndvi_lag2,ndvi_lag3,month_sin,month_cos,no2_umol_m2_t1,rainfall_mm_t1,t2m_mean_t1
Bomadi,Bomadi,2025-10,2025,10,1.4475734133156948e-05,14.475734133156948,1,404.07080078125,6,25.65,29.96,23.2,25.92,31,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,390.5998128255208,216.54913330078125,269.9983317057292,25.31,24.88,25.28,,,,annual,24310,16.179064914467745,14.358402950165328,11.522043678269256,390.5998128255208,216.54913330078125,269.9983317057292,25.31,24.88,25.28,,,,-0.8660254037844386,0.5000000000000001,15.677849660278298,240.3924153645833,26.69
Bomadi,Bomadi,2025-11,2025,11,1.5677849660278298e-05,15.677849660278298,1,240.3924153645833,6,26.69,31.29,23.88,27.1,30,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,404.07080078125,390.5998128255208,216.54913330078125,25.65,25.31,24.88,,,,annual,24311,14.475734133156948,16.179064914467745,14.358402950165328,404.07080078125,390.5998128255208,216.54913330078125,25.65,25.31,24.88,,,,-0.5000000000000004,0.8660254037844384,61.47883686935529,136.38473510742188,26.73
Bomadi,Bomadi,2025-12,2025,12,6.147883686935529e-05,61.47883686935529,1,136.38473510742188,6,26.73,30.72,24.28,27.01,31,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,240.3924153645833,404.07080078125,390.5998128255208,26.69,25.65,25.31,,,,annual,24312,15.677849660278298,14.475734133156948,16.179064914467745,240.3924153645833,404.07080078125,390.5998128255208,26.69,25.65,25.31,,,,-2.4492935982947064e-16,1.0,28.693417334579863,35.07648213704427,27.17
Bomadi,Bomadi,2026-01,2026,1,2.8693417334579863e-05,28.693417334579863,1,35.07648213704427,6,27.17,32.11,24.41,27.4,31,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,136.38473510742188,240.3924153645833,404.07080078125,26.73,26.69,25.65,,,,annual,24313,61.47883686935529,15.677849660278298,14.475734133156948,136.38473510742188,240.3924153645833,404.07080078125,26.73,26.69,25.65,,,,0.49999999999999994,0.8660254037844387,23.98914330115076,140.97763061523438,27.34
Bomadi,Bomadi,2026-02,2026,2,2.398914330115076e-05,23.98914330115076,1,140.97763061523438,6,27.34,32.92,24.19,27.53,28,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,35.07648213704427,136.38473510742188,240.3924153645833,27.17,26.73,26.69,,,,annual,24314,28.693417334579863,61.47883686935529,15.677849660278298,35.07648213704427,136.38473510742188,240.3924153645833,27.17,26.73,26.69,,,,0.8660254037844386,0.5000000000000001,26.38330624904484,152.5948282877604,27.68
Bomadi,Bomadi,2026-03,2026,3,2.638330624904484e-05,26.38330624904484,1,152.5948282877604,6,27.68,32.21,24.53,27.97,31,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,140.97763061523438,35.07648213704427,136.38473510742188,27.34,27.17,26.73,,,,annual,24315,23.98914330115076,28.693417334579863,61.47883686935529,140.97763061523438,35.07648213704427,136.38473510742188,27.34,27.17,26.73,,,,1.0,6.123233995736766e-17,18.934755644295365,200.24222819010416,27.61
Bomadi,Bomadi,2026-04,2026,4,1.8934755644295365e-05,18.934755644295365,1,200.24222819010416,6,27.61,31.96,24.28,27.81,30,0,0.0,0.0,0.0,,4,3,1,0,2,2,37392,5833,0.11,0.51,152.5948282877604,140.97763061523438,35.07648213704427,27.68,27.34,27.17,,,,annual,24316,26.38330624904484,23.98914330115076,28.693417334579863,152.5948282877604,140.97763061523438,35.07648213704427,27.68,27.34,27.17,,,,0.8660254037844387,-0.4999999999999998,,,
Bomadi,Ekaametagbene/Kalafio,2025-05,2025,5,1.600311807123944e-05,16.00311807123944,10,215.41349283854169,12,27.07,31.56,24.66,27.32,31,0,0.0,0.0,0.0,,3,3,0,0,0,0,3299,515,0.91,5.83,,,,,,,,,,annual,24305,,,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,7.842585182515904,371.7725830078125,26.38
Bomadi,Ekaametagbene/Kalafio,2025-06,2025,6,7.842585182515904e-06,7.842585182515904,10,371.7725830078125,12,26.38,29.95,23.93,26.64,30,0,0.0,0.0,0.0,,3,3,0,0,0,0,3299,515,0.91,5.83,215.41349283854169,,,27.07,,,,,,annual,24306,16.00311807123944,,,215.41349283854169,,,27.07,,,,,,1.2246467991473532e-16,-1.0,10.668257891666144,344.0161539713542,25.28
Bomadi,Ekaametagbene/Kalafio,2025-07,2025,7,1.0668257891666144e-05,10.668257891666144,10,344.0161539713542,12,25.28,28.95,23.03,25.45,31,0,0.0,0.0,0.0,,3,3,0,0,0,0,3299,515,0.91,5.83,371.7725830078125,215.41349283854169,,26.38,27.07,,,,,annual,24307,7.842585182515904,16.00311807123944,,371.7725830078125,215.41349283854169,,26.38,27.07,,,,,-0.4999999999999997,-0.8660254037844388,12.76199473068118,195.1768798828125,24.88
