lganame,wardname,pop_total,pop_under5,pixel_count
Oshimili South,Oko Anala/Amakom,16390,2557,57
Oshimili South,Oko Ogbele,4055,633,85
Oshimili South,Okwe,38075,5940,12
Oshimili South,Ugbomanta,24783,3866,3
Oshimili South,Umuagu,21651,3378,3
Oshimili South,Umuaji,35519,5541,18
Oshimili South,Umuezei,14956,2333,2
Oshimili South,Umuonaje,34864,5439,8
Oshimili South,West End,131439,20504,64
Patani,Abari,4520,705,21
Patani,Agoloma,8591,1340,15
Patani,Buluangiama,6626,1034,41
Patani,Odorubu,16785,2618,46
Patani,Patani 2,13233,2064,9
Patani,Patani 3,8884,1386,12
Patani,Patani 4,11652,1818,7
Patani,Patani 5,14362,2240,23
Patani,Toruangiama,3954,617,10
Patani,Uduophori,11089,1730,36
Sapele,Abeke,9448,1474,1
Sapele,Agbawan,13527,2110,1
Sapele,Amukpe,133768,20868,77
Sapele,Amuogodo,30845,4812,4
Sapele,Ayomanor,12649,1973,1
Sapele,Elume,20133,3141,80
Sapele,Etamua,43069,6719,22
Sapele,Gana,59575,9294,69
Sapele,Hausa,3866,603,1
Sapele,Okpe,45289,7065,9
Sapele,Ugborhen/Okokporo,8261,1289,62
Udu,Aladja,32734,5107,19
Udu,Egini,27505,4291,21
Udu,Ekete,57946,9040,8
Udu,Emadadja,19598,3057,31
Udu,Ogbe Udu,11594,1809,13
Udu,Opete,25088,3914,19
Udu,Orhuwhorun,102948,16060,20
Udu,Otor Udu,20497,3198,14
Udu,Ovwian,70546,11005,18
Udu,Owhrode,10627,1658,13
Ughelli North,Afiesere/Ereumukohwaren,52389,8173,47
Ughelli North,Agbarha-Otor,58607,9143,115
Ughelli North,Agbarho 1,92357,14408,40
Ughelli North,Agbarho 2,40319,6290,67
Ughelli North,Evwreni,15710,2451,45
Ughelli North,Orogun 1,24986,3898,56
Ughelli North,Orogun 2-Erhobaro,22020,3435,97
Ughelli North,Otor-Ogor,25923,4044,40
Ughelli North,Ughelli Urban 1,139510,21764,49
Ughelli North,Ughelli Urban 2,129636,20223,46
Ughelli North,Uwheru,21353,3331,115
Ughelli South,Ekakpamre,152321,23762,55
Ughelli South,Ewu 1,51112,7973,199
Ughelli South,Ewu 2,15841,2471,103
Ughelli South,Ewu 3,8712,1359,138
Ughelli South,Jeremi 1,23148,3611,27
Ughelli South,Jeremi 2,58593,9141,36
Ughelli South,Jeremi 3,46726,7289,17
Ughelli South,Jeremi 4,24697,3853,87
Ughelli South,Olomu 1,24023,3748,38
Ughelli South,Olomu 2,39999,6240,61
Ughelli South,Olomu 3-Effurun-Otor,53561,8356,33
Ukwuani,Akoku,14707,2294,42
Ukwuani,Amai,12501,1950,45
Ukwuani,Ebedei,15884,2478,39
Ukwuani,Eziokpor,1983,309,20
Ukwuani,Ezionum,6550,1022,17
Ukwuani,Ogbeobiaruku,39704,6194,20
Ukwuani,Okuzu,36103,5632,13
Ukwuani,Umuebu,3210,501,13
Ukwuani,Umukwata,25029,3905,60
Ukwuani,Umutu,27090,4226,21
Uvwie,Alaka,72981,11385,8
Uvwie,Ekpan 10,65445,10209,8
Uvwie,Ekpan 9,39787,6207,12
Uvwie,Enerhen 3,33012,5150,5
Uvwie,Enerhen 4,18052,2816,5
Uvwie,Ohorhe,56783,8858,46
Uvwie,Ugbomro,51099,7971,10
Uvwie,Ugborikoko,65641,10240,6
Uvwie,Ugboroke,12010,1874,1
Uvwie,Urhumarhu,69885,10902,6
Warri North,Abigborodo,4013,626,48
Warri North,Ebrohimi,1224,191,66
Warri North,Eghoro,1376,215,101
Warri North,Gbokoda,2065,322,33
Warri North,Koko,29943,4671,110
Warri North,Ogbinbiri,979,153,54
Warri North,Ogheye,11357,1772,49
Warri North,Okbudugbudu,5277,823,81
Warri North,Opuama,2798,436,39
Warri North,Tsekelewu,2350,367,23
Warri South-West,Ajudaibo,280,44,6
Warri South-West,Akpakpa,657,102,9
Warri South-West,Isaba,2358,368,45
Warri South-West,Madangho,538,84,2
Warri South-West,Ogbe-Ijoh,16088,2510,213
Warri South-West,Ogidigben,3835,598,29
Warri South-West,Okerenkoko,6984,1090,196
Warri South-West,Oporozo,5755,898,88
Warri South-West,Orere,1414,221,60
Warri South-West,Ugborodo,12699,1981,64
Warri South,Avenue,23961,3738,7
Warri South,Bowen,0,0,0
Warri South,Ekurede,78506,12247,13
Warri South,Esisi,14375,2242,1
Warri South,Igbudu,49836,7774,5
Warri South,Obodo,4367,681,76
Warri South,Ode-Itsekiri,5002,780,48
Warri South,Okere,59337,9257,6
Warri South,Pessu,31169,4862,8
Warri South,Ubeji,66118,10314,53
Ika South,Boji-Boji Agbor 8,15746,2456,3
Ika South,Agbor-Obi 2,17245,2690,7
