lganame,wardname,year,month,no2_mol_m2,no2_valid_pixels,no2_umol_m2,rainfall_mm,rainfall_valid_pixels,t2m_mean,t2m_max,t2m_min,ts_mean,temp_n_days,flare_n_sites,flare_total_bcm_13yr,flare_max_site_bcm,flare_last_year_bcm,flare_operators,fac_total,fac_phc,fac_secondary,fac_tertiary,fac_public,fac_private,pop_total,pop_under5,ndvi_annual,ym
Bomadi,Akugbene 1,2021,10,9.763242815097328e-06,4.0,9.763242815097328,442.1453857421875,2,25.97,31.83,22.89,26.05,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-10
Bomadi,Akugbene 1,2021,11,2.7851623599417508e-05,4.0,27.851623599417508,295.1558837890625,2,26.1,31.5,22.52,26.16,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-11
Bomadi,Akugbene 1,2021,12,3.173726872773841e-05,4.0,31.73726872773841,28.972139358520508,2,25.68,32.19,18.01,25.49,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2021-12
Bomadi,Akugbene 1,2022,1,4.275703395251185e-05,4.0,42.75703395251185,31.27444076538086,2,24.25,31.96,14.3,23.97,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-01
Bomadi,Akugbene 1,2022,2,2.352714909648057e-05,4.0,23.52714909648057,31.432373046875,2,26.22,33.18,15.37,26.02,28.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-02
Bomadi,Akugbene 1,2022,3,1.6897116438485682e-05,4.0,16.897116438485682,94.27546691894533,2,27.17,32.75,24.08,27.21,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-03
Bomadi,Akugbene 1,2022,4,1.3280229723022783e-05,4.0,13.280229723022783,206.1690673828125,2,26.59,33.22,23.1,26.64,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-04
Bomadi,Akugbene 1,2022,5,1.752227581164334e-05,4.0,17.52227581164334,308.26617431640625,2,26.26,31.21,22.1,26.29,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-05
Bomadi,Akugbene 1,2022,6,9.225408575730398e-06,4.0,9.225408575730398,433.8271484375,2,25.39,29.71,22.51,25.43,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-06
Bomadi,Akugbene 1,2022,7,9.898095413518604e-06,4.0,9.898095413518604,309.5386962890625,2,24.88,29.71,21.6,24.95,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-07
Bomadi,Akugbene 1,2022,8,1.069060090230778e-05,4.0,10.69060090230778,175.26458740234375,2,24.66,29.95,20.83,24.76,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-08
Bomadi,Akugbene 1,2022,9,8.93981268745847e-06,4.0,8.93981268745847,279.8630676269531,2,25.07,30.27,22.35,25.16,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-09
Bomadi,Akugbene 1,2022,10,1.5661749785067514e-05,4.0,15.661749785067514,331.600830078125,2,25.9,31.87,21.87,25.94,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-10
Bomadi,Akugbene 1,2022,11,1.4698324775963556e-05,4.0,14.698324775963556,181.7294006347656,2,26.58,32.65,22.42,26.59,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-11
Bomadi,Akugbene 1,2022,12,3.53435316355899e-05,4.0,35.3435316355899,40.87413024902344,2,25.06,31.55,16.49,24.8,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2022-12
Bomadi,Akugbene 1,2023,1,3.824096347671002e-05,4.0,38.24096347671002,20.754898071289062,2,25.36,31.9,15.73,25.09,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-01
Bomadi,Akugbene 1,2023,2,2.797053639369551e-05,4.0,27.97053639369551,30.44430351257324,2,26.33,34.2,17.47,26.19,28.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-02
Bomadi,Akugbene 1,2023,3,9.138451787293889e-06,4.0,9.138451787293889,187.95291137695312,2,26.56,32.27,22.63,26.57,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-03
Bomadi,Akugbene 1,2023,4,1.7426553313271143e-05,4.0,17.426553313271143,166.80184936523438,2,26.85,32.27,23.71,26.91,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-04
Bomadi,Akugbene 1,2023,5,1.913285450427793e-05,4.0,19.13285450427793,294.16552734375,2,26.86,31.62,23.29,26.89,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-05
Bomadi,Akugbene 1,2023,6,1.036088178807404e-05,4.0,10.36088178807404,412.7607116699219,2,25.71,30.11,22.92,25.78,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-06
Bomadi,Akugbene 1,2023,7,1.480497212469345e-05,4.0,14.80497212469345,525.8182373046875,2,25.64,30.94,22.3,25.71,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-07
Bomadi,Akugbene 1,2023,8,1.649187834118493e-05,4.0,16.49187834118493,266.3847351074219,2,25.5,31.08,22.19,25.57,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-08
Bomadi,Akugbene 1,2023,9,9.096955182030795e-06,4.0,9.096955182030795,461.676513671875,2,25.79,31.3,23.01,25.87,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-09
Bomadi,Akugbene 1,2023,10,1.6890973711269908e-05,4.0,16.890973711269908,355.02496337890625,2,26.25,31.81,23.02,26.33,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-10
Bomadi,Akugbene 1,2023,11,2.242206574010197e-05,4.0,22.42206574010197,214.4869384765625,2,26.61,32.09,22.79,26.67,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-11
Bomadi,Akugbene 1,2023,12,2.9395090678008277e-05,4.0,29.395090678008277,28.600364685058597,2,26.54,32.41,17.43,26.22,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2023-12
Bomadi,Akugbene 1,2024,1,3.348133395775221e-05,4.0,33.48133395775221,14.91336154937744,2,26.64,33.3,16.25,26.3,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-01
Bomadi,Akugbene 1,2024,2,3.032873064512387e-05,4.0,30.32873064512387,75.09795379638672,2,27.3,34.43,18.38,27.1,29.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-02
Bomadi,Akugbene 1,2024,3,1.8212926079286262e-05,4.0,18.212926079286262,117.6504898071289,2,28.01,34.49,24.72,28.05,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-03
Bomadi,Akugbene 1,2024,4,1.920345312100835e-05,4.0,19.20345312100835,141.20445251464844,2,27.73,32.57,24.81,27.74,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-04
Bomadi,Akugbene 1,2024,5,1.6406895156251267e-05,4.0,16.406895156251267,289.7548828125,2,27.32,32.15,24.05,27.36,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-05
Bomadi,Akugbene 1,2024,6,1.5603247447870672e-05,4.0,15.603247447870672,430.6751708984375,2,26.42,31.61,23.44,26.5,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-06
Bomadi,Akugbene 1,2024,7,1.1740083209588192e-05,4.0,11.740083209588192,352.3602294921875,2,25.59,30.14,23.05,25.68,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-07
Bomadi,Akugbene 1,2024,8,1.3103087439958472e-05,4.0,13.103087439958472,150.55874633789062,2,25.49,30.72,22.38,25.59,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-08
Bomadi,Akugbene 1,2024,9,1.305731711909175e-05,4.0,13.05731711909175,306.2510070800781,2,25.79,30.71,22.86,25.91,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-09
Bomadi,Akugbene 1,2024,10,1.4927235497452784e-05,4.0,14.927235497452784,534.036865234375,2,26.09,32.35,22.65,26.16,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-10
Bomadi,Akugbene 1,2024,11,1.2511433851614129e-05,4.0,12.511433851614129,89.88880157470703,2,26.7,32.38,19.48,26.6,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-11
Bomadi,Akugbene 1,2024,12,3.352782368892804e-05,4.0,33.52782368892804,8.350166320800781,2,25.88,32.76,17.28,25.43,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2024-12
Bomadi,Akugbene 1,2025,1,3.723968984559178e-05,4.0,37.239689845591776,24.53980255126953,2,26.86,33.19,17.83,26.77,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-01
Bomadi,Akugbene 1,2025,2,2.7618169042398225e-05,4.0,27.618169042398225,54.13146209716797,2,27.48,33.98,23.51,27.52,28.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-02
Bomadi,Akugbene 1,2025,3,2.110398781951517e-05,4.0,21.10398781951517,127.5305633544922,2,27.79,33.25,24.34,27.88,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-03
Bomadi,Akugbene 1,2025,4,2.949931331386324e-05,4.0,29.49931331386324,197.5484313964844,2,27.35,33.19,24.3,27.43,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-04
Bomadi,Akugbene 1,2025,5,1.788223016774282e-05,4.0,17.88223016774282,212.60772705078125,2,26.71,31.96,24.0,26.78,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-05
Bomadi,Akugbene 1,2025,6,4.507631729211425e-06,4.0,4.507631729211425,337.35748291015625,2,26.05,30.65,23.16,26.12,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-06
Bomadi,Akugbene 1,2025,7,1.0177125659538431e-05,4.0,10.177125659538431,267.2798156738281,2,24.93,29.47,22.12,25.02,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-07
Bomadi,Akugbene 1,2025,8,1.2989116839889904e-05,4.0,12.989116839889904,188.51022338867188,2,24.67,29.85,21.72,24.79,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-08
Bomadi,Akugbene 1,2025,9,1.6895970475161448e-05,4.0,16.895970475161448,384.01556396484375,2,25.19,30.78,22.28,25.29,30.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-09
Bomadi,Akugbene 1,2025,10,1.419125146639999e-05,4.0,14.19125146639999,360.6279296875,2,25.66,31.23,22.4,25.72,31.0,0,0.0,0.0,0.0,,1,0,1,0,0,0,1848,288,,2025-10
